DATUM;entro;ecoli
05.05.2026;10;110
08.05.2026;46;1108
12.05.2026;10;179
15.05.2026;10;126
18.05.2026;10;46
22.05.2026;61;160
27.05.2026;109;397
29.05.2026;77;485
01.06.2026;15;252
05.06.2026;30;270
08.06.2026;144;393
12.06.2026;127;489
15.06.2026;476;46
19.06.2026;10;61
23.06.2026;10;30
26.06.2026;10;77
30.06.2026;45;110
03.06.2026;30;144
06.07.2026;15;161
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
